semester,departmentId,serialNumber,attributeCode,systemCode,forGrade,forClass,forClassGroup,category,courseName,courseNote,courseLimit,tags,credits,required,instructors,selected,available,time
01131,I9,83,DEN2874,I921100,2,,,講義,牙體形態學實驗,限牙醫學系學生選修。,限本系,,2,True,丁羣展,0,32,"1,6,9,25,34206,牙醫系館 34206"
01131,I9,127,DEN4875,I931801,3,,,講義,病理學（二）（含實驗）,分週區段教學(block)，每週各課程上課時間不一樣，分佈在不同時段。限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,3,True,"何中良, 吳昱學, 謝達斌, 張孔昭, 楊曉白, 蔡弘文, 李忠達, 張珍",0,120,"0,1,3,52,0101,醫學院 第二講堂, 1,1,,52,0101,醫學院 第二講堂, 2,1,3,52,0101,醫學院 第二講堂, 2,6,8,52,0101,醫學院 第二講堂, 3,1,2,52,0101,醫學院 第二講堂, 4,1,4,52,0101,醫學院 第二講堂"
01131,I9,128,DEN3868,I931200,3,,,講義,牙科材料學,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,"李澤民, 林睿哲, 吳昱學, 陳永崇, 莊淑芬, 黃則達",0,70,"1,6,7,25,34101,牙醫系館 34101"
01131,I9,129,DEN3873,I931300,3,,,實習,牙科材料學實驗,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,1,True,莊淑芬,0,24,"0,8,9,25,34308,牙醫系館 34308"
01131,I9,130,DEN3869,I931400,3,,,講義,口腔病理學,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,"謝達斌, 丁羣展, 邱威智, 吳昱學, 陳孟延, 許修銘, 黃則達",0,36,"3,3,4,25,34103,牙醫系館 34103"
01131,I9,131,DEN3874,I931500,3,,,講義,口腔病理學實驗,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,"謝達斌, 吳昱學",0,36,
01131,I9,132,DEN4861,I931600,3,,,講義,牙科公共衛生學,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,"吳尚蓉, 丁羣展, 邱威智, 龍萱, 許修銘, 王東堯, 王亮懿",0,70,"4,6,7,25,34101,牙醫系館 34101"
01131,I9,133,DEN4864,I932000,3,,,講義,牙科藥理學,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,"蔣維凡, 林政達, 黃則達",0,70,"1,8,9,25,34101,牙醫系館 34101"
01131,I9,134,DEN4869,I932100,3,,,講義,咬合學,限牙醫學系三年級(含)以上學生選修。,限本系；限以上選課,,2,True,陳孟延,0,70,"2,9,10,25,34101,牙醫系館 34101"
01131,I9,135,DEN4863,I931900,3,,,講義,牙科感染控制,,,,1,False,"陳畊仲, 柯乃熒, 丁羣展, 陳孟延",0,-3,"2,9,,25,34104,牙醫系館 34104"
01131,I9,176,DEN5864,I941300,4,,,講義,內科學,牙醫系館34104教室上課。限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,2,True,"張維倫, 陳柏升, 楊思雋, 李文煌, 張獻元, 許雅婷, 吳泓璁, 陳柏偉, 黃基彰, 郭德輝, 郭欣瑜, 孫健耀",0,36,"4,9,10,25,34104,牙醫系館 34104"
01131,I9,177,DEN5863,I941200,4,,,講義,口腔診斷學,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,2,True,"吳昱學, 丁羣展, 邱威智, 陳畊仲, 陳孟延, 許修銘",0,36,"1,3,4,25,34104,牙醫系館 34104"
01131,I9,178,DEN5862,I941000,4,,,講義,固定補綴學,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,3,True,陳永崇,0,36,"4,6,8,25,34104,牙醫系館 34104"
01131,I9,179,DEN5871,I941100,4,,,實習,固定補綴學實驗,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,4,True,陳永崇,0,32,"2,1,9,25,34201,牙醫系館 34201"
01131,I9,180,DEN5866,I941600,4,,,講義,全口補綴學,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,2,True,陳永崇,0,36,"0,2,3,25,34104,牙醫系館 34104"
01131,I9,181,DEN5872,I941500,4,,,實習,全口補綴學實驗,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,2,True,陳永崇,0,32,"3,6,9,25,34206,牙醫系館 34206"
01131,I9,182,DEN5867,I941800,4,,,講義,兒童牙科學,限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,2,True,"許修銘, 丁羣展, 吳昱學, 劉佳觀, 黃則達",0,36,"0,6,7,25,34104,牙醫系館 34104"
